Datum;vodostaj (cm);pretok (m3/s);temp. vode (°C)
01.01.2023;85;5.358;9.4
02.01.2023;84;4.926;9.4
03.01.2023;83;4.611;9.4
04.01.2023;81;4.157;9.1
05.01.2023;81;3.911;9.1
06.01.2023;79;3.562;8.8
07.01.2023;78;3.313;8.8
08.01.2023;79;3.544;8.6
09.01.2023;126;29.415;8.8
10.01.2023;111;19.131;8.1
11.01.2023;100;12.168;7.3
12.01.2023;94;9.329;7.8
13.01.2023;91;7.527;7.7
14.01.2023;88;6.386;7.5
15.01.2023;87;5.881;7.6
16.01.2023;117;23.076;7.4
17.01.2023;109;17.356;7.2
18.01.2023;107;16.152;7.4
19.01.2023;102;13.494;7.4
20.01.2023;97;10.749;6.9
21.01.2023;93;8.676;6.2
22.01.2023;91;7.368;6.3
23.01.2023;92;8.418;6.9
24.01.2023;94;9.112;7.2
25.01.2023;91;7.637;6.8
26.01.2023;89;6.768;6.3
27.01.2023;87;5.953;6
28.01.2023;85;5.182;5.9
29.01.2023;83;4.562;6.1
30.01.2023;82;4.198;5.7
31.01.2023;80;3.846;5.5
01.02.2023;79;3.561;5.6
02.02.2023;79;3.441;6.3
03.02.2023;78;3.277;6.3
04.02.2023;78;3.238;6.3
05.02.2023;77;3.106;5.6
06.02.2023;76;2.873;5.3
07.02.2023;75;2.669;4.6
08.02.2023;74;2.468;4.4
09.02.2023;73;2.308;4.5
10.02.2023;73;2.264;4.4
11.02.2023;72;2.106;4.8
12.02.2023;72;2.106;5.6
13.02.2023;72;2.054;5.8
14.02.2023;72;2.077;5.8
15.02.2023;72;2.12;6
16.02.2023;73;2.271;6.1
17.02.2023;73;2.307;7.2
18.02.2023;74;2.492;7.6
19.02.2023;75;2.628;7.7
20.02.2023;74;2.516;7.3
21.02.2023;74;2.514;7.7
22.02.2023;74;2.489;7.9
23.02.2023;74;2.43;7.7
24.02.2023;73;2.286;7.7
25.02.2023;80;3.787;8
26.02.2023;79;3.643;6.8
27.02.2023;76;2.841;5.9
28.02.2023;74;2.461;5.9
01.03.2023;73;2.271;6.3
02.03.2023;72;2.156;7.2
03.03.2023;72;2.066;7.2
04.03.2023;71;1.944;7
05.03.2023;71;1.923;7
06.03.2023;71;1.984;7
07.03.2023;89;7.059;6.8
08.03.2023;85;5.264;7.5
09.03.2023;90;7.45;8.2
10.03.2023;91;7.42;8.6
11.03.2023;88;6.223;9
12.03.2023;84;4.807;7.8
13.03.2023;81;3.989;7.5
14.03.2023;89;7.539;8.3
15.03.2023;97;10.807;8.1
16.03.2023;89;6.799;7.2
17.03.2023;86;5.514;7.4
18.03.2023;84;4.8;7.7
19.03.2023;82;4.204;7.9
20.03.2023;80;3.739;8.6
21.03.2023;79;3.481;8.7
22.03.2023;78;3.293;9.6
23.03.2023;78;3.199;9.5
24.03.2023;77;3.092;9.5
25.03.2023;81;4.129;9.3
26.03.2023;82;4.308;8.9
27.03.2023;110;18.744;8.6
28.03.2023;94;9.589;7.7
29.03.2023;88;7.009;8
30.03.2023;86;6.006;8.3
31.03.2023;90;8.023;8.7
01.04.2023;110;18.992;9
02.04.2023;98;11.629;9.1
03.04.2023;92;8.741;8.9
04.04.2023;89;7.13;7.5
05.04.2023;86;6.138;7.5
06.04.2023;84;5.453;7.7
07.04.2023;82;4.904;8
08.04.2023;81;4.514;8.4
09.04.2023;80;4.162;8.7
10.04.2023;78;3.8;9
11.04.2023;77;3.539;8.7
12.04.2023;76;3.391;9.1
13.04.2023;98;13.539;8.8
14.04.2023;113;20.691;8.3
15.04.2023;104;15.441;8.7
16.04.2023;99;12.293;8.8
17.04.2023;94;9.78;9.5
18.04.2023;92;8.383;9.9
19.04.2023;89;7.261;9.9
20.04.2023;88;6.726;9.4
21.04.2023;86;6.035;10
22.04.2023;84;5.546;10.4
23.04.2023;83;5.153;10.4
24.04.2023;85;5.931;10
25.04.2023;87;6.435;9.5
26.04.2023;83;5.259;9.6
27.04.2023;82;4.712;10.2
28.04.2023;80;4.346;9.8
29.04.2023;79;4.055;10.7
30.04.2023;79;3.982;11.3
01.05.2023;78;3.769;10.8
02.05.2023;80;4.209;10.5
03.05.2023;79;4.027;10.5
04.05.2023;78;3.711;11.1
05.05.2023;77;3.519;11.8
06.05.2023;76;3.418;12.2
07.05.2023;76;3.291;12.3
08.05.2023;75;3.092;11.9
09.05.2023;74;2.912;11.8
10.05.2023;74;2.869;10.8
11.05.2023;84;5.807;10.7
12.05.2023;85;5.704;10.5
13.05.2023;85;5.67;10.6
14.05.2023;88;7.243;10.3
15.05.2023;97;11.335;10.9
16.05.2023;93;8.948;10.6
17.05.2023;92;8.52;10.4
18.05.2023;87;6.599;10.6
19.05.2023;84;5.549;11
20.05.2023;82;4.858;11.5
21.05.2023;80;4.314;12.6
22.05.2023;79;3.984;12.6
23.05.2023;77;3.604;12.8
24.05.2023;76;3.354;12.6
25.05.2023;75;3.066;13.5
26.05.2023;74;2.884;13.7
27.05.2023;73;2.718;13.9
28.05.2023;72;2.576;13.8
29.05.2023;72;2.495;13.7
30.05.2023;71;2.381;13.8
31.05.2023;70;2.277;13.5
01.06.2023;70;2.189;13.6
02.06.2023;70;2.17;13.7
03.06.2023;70;2.158;14.1
04.06.2023;70;2.192;13.3
05.06.2023;80;5.094;13.1
06.06.2023;98;11.986;12.8
07.06.2023;88;6.858;13.2
08.06.2023;82;4.829;13.4
09.06.2023;82;5.247;13.8
10.06.2023;82;4.81;13.2
11.06.2023;78;3.865;13.7
12.06.2023;77;3.543;14.1
13.06.2023;81;4.544;13.9
14.06.2023;78;3.712;13.6
15.06.2023;77;3.6;14.2
16.06.2023;76;3.348;13.8
17.06.2023;74;2.893;13.7
18.06.2023;73;2.651;14.4
19.06.2023;72;2.468;14.9
20.06.2023;71;2.397;15.5
21.06.2023;70;2.27;15.9
22.06.2023;70;2.196;16.3
23.06.2023;69;2.08;16.1
24.06.2023;69;1.978;15.8
25.06.2023;68;1.897;15.9
26.06.2023;68;1.891;16.1
27.06.2023;68;1.954;15.2
28.06.2023;69;2.035;15.5
29.06.2023;67;1.749;15.6
30.06.2023;67;1.755;15.5
01.07.2023;67;1.816;15.2
02.07.2023;67;1.77;15.9
03.07.2023;89;12.255;14.9
04.07.2023;117;24.407;14.4
05.07.2023;90;7.885;14.7
06.07.2023;83;5.145;14.5
07.07.2023;78;3.886;15.1
08.07.2023;76;3.32;15.4
09.07.2023;75;3.024;15.8
10.07.2023;73;2.704;16.2
11.07.2023;72;2.532;16.6
12.07.2023;74;2.963;16.2
13.07.2023;86;6.565;16.1
14.07.2023;88;7.025;15.8
15.07.2023;79;3.946;15.8
16.07.2023;75;3.179;16.6
17.07.2023;73;2.806;16.8
18.07.2023;73;2.729;17.2
19.07.2023;75;3.09;16.8
20.07.2023;73;2.684;17.1
21.07.2023;83;5.685;16
22.07.2023;82;4.787;15.4
23.07.2023;76;3.244;15.7
24.07.2023;74;2.878;15.7
25.07.2023;100;13.629;15.4
26.07.2023;101;13.413;14.1
27.07.2023;93;9.135;13.8
28.07.2023;86;6.271;14.1
29.07.2023;82;4.852;15.1
30.07.2023;103;14.939;15.4
31.07.2023;96;10.92;14.8
01.08.2023;93;9.144;14.1
02.08.2023;98;11.834;14
03.08.2023;94;10.019;14.3
04.08.2023;185;97;14.1
05.08.2023;153;59.768;12.7
06.08.2023;127;36.082;12.5
07.08.2023;116;28.071;12.2
08.08.2023;107;21.595;12.3
09.08.2023;101;17.875;12.4
10.08.2023;97;15.165;13
11.08.2023;93;13.019;13.6
12.08.2023;90;11.218;14
13.08.2023;88;9.862;14.4
14.08.2023;85;8.623;14.8
15.08.2023;83;7.666;14.7
16.08.2023;82;7.095;14.8
17.08.2023;81;6.858;15.1
18.08.2023;79;6.282;15.1
19.08.2023;78;5.759;15.4
20.08.2023;76;5.243;15.6
21.08.2023;75;4.898;15.7
