Datum;vodostaj (cm);pretok (m3/s);temp. vode (°C);transport suspend. materiala (kg/s);vsebnost suspend. materiala (g/m3);motnost vode (NTU)
01.01.2023;67;60.373;4.5;1.668;27.625;21.291
02.01.2023;67;60.161;4.4;1.624;26.986;20.84
03.01.2023;68;62.297;4.5;1.517;24.345;18.964
04.01.2023;70;65.447;4.9;1.422;21.72;17.082
05.01.2023;70;66.03;5;1.379;20.88;16.476
06.01.2023;67;60.593;5.5;1.399;23.086;18.064
07.01.2023;69;64.041;5.3;1.282;20.026;15.858
08.01.2023;67;61.067;5.3;1.171;19.181;15.244
09.01.2023;67;61.571;5.8;1.205;19.569;15.526
10.01.2023;72;69.441;5.8;1.478;21.287;16.77
11.01.2023;70;66.724;5.1;1.239;18.564;14.795
12.01.2023;68;61.859;5.3;1.154;18.653;14.86
13.01.2023;67;61.354;5.1;1.09;17.772;14.217
14.01.2023;68;62.284;4.9;1.003;16.105;12.994
15.01.2023;66;59.81;5.3;0.883;14.765;12.005
16.01.2023;74;73.681;4.8;1.58;21.445;16.884
17.01.2023;87;97.572;4.5;2.132;21.853;17.178
18.01.2023;92;108.518;4.6;2.244;20.678;16.33
19.01.2023;93;110.031;4.7;1.576;14.319;11.674
20.01.2023;91;106.165;4.5;1.28;12.055;9.988
21.01.2023;81;85.761;4.1;0.835;9.74;8.247
22.01.2023;76;77.335;4;0.823;10.639;8.925
23.01.2023;79;84.125;4.1;1.223;14.54;11.838
24.01.2023;193;343.624;4;72.023;209.597;127.828
25.01.2023;143;225.621;4.4;30.97;137.266;88.942
26.01.2023;109;145.048;4.7;6.109;42.116;31.273
27.01.2023;96;116.099;4.6;2.55;21.968;17.261
28.01.2023;87;98.743;4.5;1.519;15.382;12.461
29.01.2023;81;86.186;4.3;1.127;13.074;10.749
30.01.2023;78;81.098;4;0.967;11.925;9.891
31.01.2023;76;77.135;4;0.859;11.132;9.296
01.02.2023;75;75.12;4;0.792;10.54;8.851
02.02.2023;75;75.138;4.3;0.806;10.732;8.995
03.02.2023;77;79.073;4.7;0.817;10.329;8.692
04.02.2023;82;88.605;4.5;0.858;9.685;8.206
05.02.2023;81;86.209;4;0.808;9.372;7.969
06.02.2023;76;77.525;3.5;0.673;8.683;7.447
07.02.2023;76;76.007;2.8;0.623;8.192;7.074
08.02.2023;72;69.546;2.6;0.57;8.194;7.075
09.02.2023;71;67.18;2.3;0.566;8.42;7.247
10.02.2023;70;66.145;2.2;0.547;8.271;7.134
11.02.2023;68;62.277;2.4;0.48;7.713;6.709
12.02.2023;67;61.36;3.2;0.448;7.3;6.394
13.02.2023;69;64.984;3.3;0.495;7.611;6.631
14.02.2023;70;65.347;3.4;0.485;7.417;6.483
15.02.2023;70;65.649;3.8;0.467;7.116;6.253
16.02.2023;71;67.012;3.7;0.481;7.172;6.296
17.02.2023;72;68.864;4.5;0.476;6.91;6.096
18.02.2023;75;74.65;5.2;0.478;6.401;5.706
19.02.2023;95;114.752;5.5;0.699;6.094;5.47
20.02.2023;110;148.028;5.8;0.945;6.386;5.694
21.02.2023;105;137.724;6.3;0.875;6.354;5.67
22.02.2023;104;134.806;6.4;1.512;11.214;9.358
23.02.2023;103;133.116;6.4;1.281;9.622;8.158
24.02.2023;99;124.186;6.4;1.008;8.12;7.019
25.02.2023;97;119.035;6.4;0.984;8.266;7.13
26.02.2023;97;119.402;6.2;1.053;8.819;7.55
27.02.2023;93;110.365;5.8;0.926;8.387;7.222
28.02.2023;90;103.765;5.5;0.785;7.562;6.594
01.03.2023;87;97.18;5.1;1.04;10.7;8.971
02.03.2023;87;97.315;5.2;1.175;12.07;9.999
03.03.2023;87;97.492;5.7;1.29;13.232;10.867
04.03.2023;84;92.81;6;1.145;12.333;10.196
05.03.2023;82;87.068;6.3;0.927;10.646;8.931
06.03.2023;81;86.351;6.4;0.812;9.402;7.992
07.03.2023;82;87.417;6.6;0.836;9.568;8.117
08.03.2023;80;84.151;7;0.873;10.369;8.722
09.03.2023;78;80.578;7.4;0.902;11.194;9.343
10.03.2023;80;84.693;7.6;0.987;11.648;9.683
11.03.2023;81;86.111;7.7;0.978;11.362;9.469
12.03.2023;80;83.24;7.5;0.871;10.466;8.795
13.03.2023;78;79.449;7.8;0.781;9.832;8.317
14.03.2023;76;76.96;8.5;0.704;9.147;7.799
15.03.2023;79;82.133;8.2;0.804;9.789;8.284
16.03.2023;81;85.236;7.7;0.878;10.301;8.671
17.03.2023;78;80.237;7.3;0.795;9.908;8.374
18.03.2023;77;78.375;7.5;0.722;9.207;7.844
19.03.2023;77;78.689;8;0.711;9.035;7.714
20.03.2023;79;82.394;8.4;0.759;9.209;7.846
21.03.2023;80;85.071;9.2;0.807;9.488;8.057
22.03.2023;81;85.294;9.7;0.825;9.667;8.192
23.03.2023;81;86.792;10.5;0.902;10.39;8.738
24.03.2023;85;93.538;11.1;1.017;10.872;9.101
25.03.2023;95;114.416;10.9;1.869;16.331;13.16
26.03.2023;103;132.96;10.5;3.221;24.226;18.879
27.03.2023;118;166.214;10;12.931;77.795;54.199
28.03.2023;104;135.146;8.9;4.664;34.508;26.09
29.03.2023;94;112.235;8;1.911;17.028;13.672
30.03.2023;91;107.025;8;1.453;13.578;11.124
31.03.2023;95;114.909;8.3;1.447;12.594;10.391
01.04.2023;105;136.687;8.6;2.234;16.341;13.167
02.04.2023;102;131.061;9;2.198;16.773;13.485
03.04.2023;99;123.63;9;2.013;16.285;13.126
04.04.2023;97;118.033;8.4;1.686;14.282;11.647
05.04.2023;94;112.61;8.2;1.466;13.022;10.71
06.04.2023;91;106.472;8.1;1.255;11.784;9.785
07.04.2023;89;101.139;8.1;1.079;10.666;8.946
08.04.2023;87;97.492;8;1.017;10.429;8.767
09.04.2023;87;97.819;8.1;0.978;9.998;8.442
10.04.2023;86;95.713;8.5;0.922;9.628;8.163
11.04.2023;84;91.236;8.9;0.825;9.042;7.719
12.04.2023;84;92.896;9.6;0.82;8.832;7.56
13.04.2023;89;102.337;9.7;1.385;13.531;11.089
14.04.2023;177;306.135;8.8;147.505;481.829;254.4
15.04.2023;154;250.681;8.5;42.311;168.783;106.216
16.04.2023;122;176.039;8.7;8.587;48.78;35.717
17.04.2023;109;144.94;8.9;3.522;24.303;18.934
18.04.2023;105;136.116;9.2;2.457;18.049;14.419
19.04.2023;107;142.583;10;2.674;18.756;14.935
20.04.2023;119;168.461;10.7;5.109;30.33;23.19
21.04.2023;114;158.139;11;4.935;31.208;23.803
22.04.2023;112;151.944;11.1;4.812;31.671;24.125
23.04.2023;111;150.407;11.7;3.819;25.391;19.709
24.04.2023;120;171.026;11.7;4.789;28.004;21.558
25.04.2023;129;192.647;11.9;9.958;51.689;37.631
26.04.2023;121;173.478;11.5;7.035;40.555;30.219
27.04.2023;116;161.268;11;4.601;28.528;21.927
28.04.2023;109;147.052;10.9;3.445;23.43;18.31
29.04.2023;109;145.793;11.2;3.061;20.993;16.558
30.04.2023;115;159.432;11.7;3.445;21.605;16.999
01.05.2023;120;171.982;12;4.65;27.039;20.877
02.05.2023;122;177.66;12.1;5.421;30.511;23.317
03.05.2023;135;206.584;11.6;9.427;45.633;33.629
04.05.2023;132;199.749;11.6;9.021;45.162;33.315
05.05.2023;128;191.102;12;7.578;39.654;29.609
06.05.2023;128;190.788;12.6;9.677;50.721;36.996
07.05.2023;137;212.659;13.5;18.446;86.74;59.658
08.05.2023;161;267.06;13.2;46.957;175.828;110
09.05.2023;153;247.35;12.2;26.601;107.543;72.002
10.05.2023;150;241.899;12.1;23.746;98.163;66.493
11.05.2023;151;243.018;11.5;24.088;99.122;67.06
12.05.2023;228;428.162;10.8;237.33;554.299;287.281
13.05.2023;212;388.508;10;92.077;237.002;141.998
14.05.2023;242;472.51;10.1;197.409;417.788;225.543
15.05.2023;269;546.789;10.8;246.197;450.26;240.152
16.05.2023;240;465.447;10.8;143.513;308.333;176.647
17.05.2023;371;910.075;10.6;1226.858;1348.084;664.358
18.05.2023;274;561.195;9.9;412.102;734.33;370.027
19.05.2023;229;432.187;10.3;91.378;211.432;128.784
20.05.2023;207;378.16;11.1;39.921;105.567;70.849
21.05.2023;202;365.578;12;33.221;90.872;62.147
22.05.2023;197;351.345;12.9;23.432;66.693;47.278
23.05.2023;199;356.197;13.3;25.591;71.845;50.511
24.05.2023;202;365.345;12.8;60.841;166.529;105
25.05.2023;218;403.216;12.8;60.105;149.065;95.481
26.05.2023;202;364.51;13.4;49.374;135.454;87.929
27.05.2023;192;338.598;13.8;34.006;100.431;67.833
28.05.2023;182;316.115;14;24.298;76.865;53.626
29.05.2023;174;297.692;14.2;17.917;60.188;43.14
30.05.2023;168;283.408;14.2;14.025;49.487;36.184
31.05.2023;161;267.34;13.9;11.296;42.253;31.365
01.06.2023;153;248.896;14.3;9.62;38.65;28.927
02.06.2023;152;245.248;14.6;8.854;36.103;27.187
03.06.2023;148;236.081;14.6;7.988;33.837;25.627
04.06.2023;147;235.043;14.8;9.507;40.447;30.146
05.06.2023;168;283.637;14.5;107.262;378.167;207.782
